Sample;;Generation;Generation_combinedF0;Original name;Date extraction;Body part;Control;Condition;Fragmented;Storage;WNV;USUV;Water%;Comment_water;Food_larvae;Bloodmeal;WTA conc;Origin
LS1;;F6;F6;;06.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;145;lab
LS10;;F6;F6;;10.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;128;lab
LS11;;F5;F5;;10.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;173;lab
LS12;;F8;F8;;10.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;46.6;lab
LS13;;F7;F7;;10.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;179;lab
LS14;;F4;F4;;10.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;142;lab
LS15;;F8;F8;;10.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;87;lab
LS16;;F5;F5;;10.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;140;lab
LS17;;F7;F7;;11.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;172;lab
LS18;;F8;F8;;11.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;160;lab
LS19;;F6;F6;;11.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;158;lab
LS2;;F8;F8;;06.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;95;lab
LS20;;F6;F6;;11.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;159;lab
LS21;;F3;F3;;11.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;136;lab
LS22;;F5;F5;;11.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;139;lab
LS23;;F4;F4;;11.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;138;lab
LS24;;F3;F3;;11.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;140;lab
LS25;;F4;F4;;11.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;137;lab
LS26;;F7;F7;;11.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;184;lab
LS27;;F8;F8;;11.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;64;lab
LS28;;F9;F9;;12.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;105;lab
LS29;;F9;F9;;12.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;134;lab
LS3;;F6;F6;;06.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;139;lab
LS30;;F7;F7;;12.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;164;lab
LS31;;F9;F9;;12.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;137;lab
LS32;;F7;F7;;12.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;48.5;lab
LS33;;F8;F8;;12.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;80;lab
LS34;;F6;F6;;12.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;131;lab
LS35;;F6;F6;;12.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;63;lab
LS36;;F6;F6;;12.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;137;lab
LS37;;F6;F6;;12.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;131;lab
LS38;;F8;F8;;12.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;58.5;lab
LS39;;F9;F9;;17.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;194;lab
LS4;;F3;F3;;06.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;149;lab
LS40;;F3;F3;;17.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;215;lab
LS41;;F9;F9;;17.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;188;lab
LS42;;F6;F6;;17.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;191;lab
LS43;;F4;F4;;17.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;214;lab
LS44;;F8;F8;;17.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;134;lab
LS45;;F4;F4;;17.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;229;lab
LS46;;F5;F5;;17.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;243;lab
LS47;;F7;F7;;17.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;44.8;lab
LS48;;F6;F6;;17.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;116;lab
LS49;;F5;F5;;17.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;199;lab
LS5;;F4;F4;;06.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;114;lab
LS50;;F0 2023;F0;;08.07.2024;whole mosquito;no;dry;no;-20°C;no;no;1;Arenberg;wild;no;170;field
LS51;;F3;F3;;08.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;150;lab
LS52;;F9;F9;;08.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;136;lab
LS53;;F6;F6;;08.07.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;128;lab
LS54;;PBS;PBS;;09.07.2024;PBS;yes;;;;;;;;;;2.63;lab
LS55;;F6;F6;;08.07.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;153;lab
LS56;;F9;F9;;08.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;153;lab
LS57;;F6;F6;;08.07.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;122;lab
LS58;;F5;F5;;08.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;129;lab
LS59;;F5;F5;;08.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;281;lab
LS6;;F7;F7;;10.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;170;lab
LS60;;F8;F8;;08.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;179;lab
LS61;;F4;F4;;09.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;234;lab
LS62;;F0 2023;F0;;09.07.2024;whole mosquito;no;dry;no;-20°C;no;no;1;Arenberg;wild;no;179;field
LS63;;F7;F7;;09.07.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;66.5;lab
LS64;;F3;F3;;09.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;102;lab
LS65;;F9;F9;;09.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;122;lab
LS66;;F7;F7;;09.07.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;64;lab
LS67;;F5;F5;;09.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;113;lab
LS68;;F9;F9;;09.07.2024;whole mosquito;no;dry;yes;-80°C;no;no;0;MiliQ;cat food;no;106;lab
LS69;;F7;F7;;09.07.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;51;lab
LS7;;F5;F5;;10.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;199;lab
LS70;;F9;F9;;09.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;119;lab
LS72;;F0 2020;F0;Mos-collection-2020 427;08.07.2024;whole mosquito;no;dry;no;-20°C;no;no;1;Arenberg;wild;no;209;field
G18;LS73;F0 2022;F0;USUV/GR-0918 (labelled as 0818);10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;21;field
G30;LS74;F0 2022;F0;USUV/GR-1030;10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;74.1;field
W26;LS75;F0 2022;F0;WNV-0626;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;64.2;field
W54;LS76;F0 2022;F0;WNV-0754;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;59.1;field
G20;LS77;F0 2022;F0;USUV/GR-0920 (labelled as 0820);10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;59.1;field
W07;LS78;F0 2022;F0;WNV-0107;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;112;field
W50;LS79;F0 2022;F0;WNV-0750;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;72.2;field
LS8;;F8;F8;;10.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;183;lab
G42;LS80;F0 2022;F0;USUV/GR-1142;10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;74.7;field
W34;LS81;F0 2022;F0;WNV-0734;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;123;field
G28;LS82;F0 2022;F0;USUV/GR-1028;10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;39.3;field
W39;LS83;F0 2022;F0;WNV-0739;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;57.6;field
LS9;;F6;F6;;10.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;148;lab
LS_NIC1;;;;;06.06.2024;;yes;;;;;;;;;;;
LS_NIC2;;;;;10.06.2024;;yes;;;;;;;;;;;
LS_NIC3;;;;;11.06.2024;;yes;;;;;;;;;;;
LS_NIC4;;;;;12.06.2024;;yes;;;;;;;;;;;
LS_NIC5;;;;;17.06.2024;;yes;;;;;;;;;;;
LS_NIC6;;;;;08.07.2024;;yes;;;;;;;;;;;
LS_NIC7;;;;;09.07.2024;;yes;;;;;;;;;;;
FNC10_11;;;;;;;yes;;;;;;;;;;;
FNC1_3;;;;;;;yes;;;;;;;;;;;
FNC4_6;;;;;;;yes;;;;;;;;;;;
FNC7_9;;;;;;;yes;;;;;;;;;;;
